cohort,model,repeat,n,positive_rate,accuracy,balanced_accuracy,sensitivity,specificity,auroc,auprc,brier,log_loss,ece_5,ece_10
child,xgb,4,290,0.48275862,0.96896552,0.96928571,0.97857143,0.96000000,0.99500000,0.99419004,0.02969404,0.11272094,0.04845748,0.05052155
child,xgb,5,290,0.48275862,0.96206897,0.96214286,0.96428571,0.96000000,0.99371429,0.99289204,0.03226491,0.11849482,0.03810118,0.04031087
child,xgb,6,290,0.48275862,0.97931034,0.97952381,0.98571429,0.97333333,0.99661905,0.99639172,0.02669739,0.10259004,0.04765109,0.05073931
child,xgb,7,290,0.48275862,0.96206897,0.96190476,0.95714286,0.96666667,0.99352381,0.99272632,0.03290964,0.11853405,0.03280860,0.03953476
child,xgb,8,290,0.48275862,0.96551724,0.96595238,0.97857143,0.95333333,0.99609524,0.99610741,0.02951412,0.11048847,0.03988814,0.04735494
child,xgb,9,290,0.48275862,0.95862069,0.95904762,0.97142857,0.94666667,0.99404762,0.99388307,0.03599596,0.12559893,0.04027761,0.04230278
child,adaboost,0,290,0.48275862,0.92068966,0.92285714,0.98571429,0.86000000,0.98290476,0.98130020,0.13064016,0.43791623,0.23337138,0.25820971
child,adaboost,1,290,0.48275862,0.88965517,0.89214286,0.96428571,0.82000000,0.97945238,0.97816224,0.13294207,0.44300123,0.23906793,0.23906793
child,adaboost,2,290,0.48275862,0.91724138,0.91952381,0.98571429,0.85333333,0.98442857,0.98347646,0.13263550,0.44217270,0.23993524,0.25716127
child,adaboost,3,290,0.48275862,0.90344828,0.90571429,0.97142857,0.84000000,0.97709524,0.97614026,0.13325103,0.44309950,0.23560332,0.24188018
child,adaboost,4,290,0.48275862,0.92413793,0.92642857,0.99285714,0.86000000,0.98409524,0.98313013,0.13033268,0.43705035,0.23501245,0.26100825
child,adaboost,5,290,0.48275862,0.90689655,0.90904762,0.97142857,0.84666667,0.98088095,0.97987466,0.13240687,0.44172284,0.22583848,0.24572306
child,adaboost,6,290,0.48275862,0.91379310,0.91571429,0.97142857,0.86000000,0.98514286,0.98448049,0.13136900,0.43951549,0.23940661,0.25303987
child,adaboost,7,290,0.48275862,0.90344828,0.90595238,0.97857143,0.83333333,0.98276190,0.98167799,0.13315406,0.44319556,0.23831879,0.24349523
child,adaboost,8,290,0.48275862,0.91724138,0.91952381,0.98571429,0.85333333,0.98457143,0.98372515,0.13219573,0.44126810,0.23859773,0.25747626
child,adaboost,9,290,0.48275862,0.92068966,0.92309524,0.99285714,0.85333333,0.98661905,0.98550633,0.13133893,0.43963105,0.23469821,0.26129256
child,mlp,0,290,0.48275862,0.90689655,0.90880952,0.96428571,0.85333333,0.97900000,0.97967101,0.09654535,0.32905570,0.17914990,0.17914990
child,mlp,1,290,0.48275862,0.89310345,0.89261905,0.87857143,0.90666667,0.96300000,0.96454976,0.10779663,0.36299027,0.15461838,0.15811334
child,mlp,2,290,0.48275862,0.88620690,0.88666667,0.90000000,0.87333333,0.95557143,0.95711164,0.11636031,0.38268557,0.13914197,0.16765619
child,mlp,3,290,0.48275862,0.80689655,0.81000000,0.90000000,0.72000000,0.85757143,0.81929358,0.15687033,0.48429728,0.12107178,0.12833619
child,mlp,4,290,0.48275862,0.83103448,0.83285714,0.88571429,0.78000000,0.93023810,0.93208079,0.14504579,0.45741147,0.13867086,0.15674127
child,mlp,5,290,0.48275862,0.93103448,0.93119048,0.93571429,0.92666667,0.97409524,0.97105729,0.10239867,0.35166587,0.16167899,0.19667737
child,mlp,6,290,0.48275862,0.88965517,0.88904762,0.87142857,0.90666667,0.96066667,0.96209119,0.11501373,0.38016980,0.15186067,0.17011117
